temperature,timestamp
"484,36,14;124,36,14;3912,36,14;481,36,14;482,37,17;486,37,12;485,37,17;483,36,15;230,35,21;",2015-03-04T12:18:59.807Z
"230,35,21;487,38,16;3912,36,14;484,36,14;",2015-03-04T12:18:22.022Z
"230,35,22;3912,36,14;487,37,17;484,35,15;124,36,14;481,36,14;",2015-03-04T12:08:09.992Z
"124,36,14;481,36,14;482,37,17;485,37,17;486,36,13;",2015-03-04T12:07:32.029Z
"483,36,16;230,36,21;484,35,15;487,37,17;3912,36,14;124,36,14;481,36,14;482,37,18;486,36,13;",2015-03-04T11:57:52.532Z
"230,36,21;3912,36,14;487,37,17;124,36,14;482,37,18;481,36,14;",2015-03-04T11:57:32.502Z
"481,36,14;482,37,18;486,36,13;485,37,17;",2015-03-04T11:56:54.346Z
"485,37,18;483,36,16;230,36,21;29,36,20;3912,35,15;484,35,15;487,37,17;124,36,14;",2015-03-04T11:47:07.918Z
"124,35,15;482,37,18;486,36,13;485,37,18;230,36,22;483,36,16;",2015-03-04T11:36:00.139Z
"483,36,16;230,36,22;29,36,20;487,37,17;3912,35,15;",2015-03-04T11:35:22.062Z
"230,36,22;29,36,19;487,37,17;124,35,15;3912,35,15;482,37,18;481,35,15;486,36,13;485,37,18;",2015-03-04T11:14:54.169Z
"29,36,19;487,37,17;484,35,15;3912,35,15;124,35,15;481,35,15;485,37,18;",2015-03-04T11:14:34.205Z
"481,35,15;485,37,18;483,36,16;",2015-03-04T11:13:56.187Z
"481,35,16;482,37,18;486,36,14;485,36,19;230,36,22;29,35,22;487,37,18;484,35,16;",2015-03-04T10:52:54.059Z
"230,36,22;29,35,22;487,37,18;484,35,16;124,35,16;3912,35,16;486,36,14;",2015-03-04T10:42:33.145Z
"230,36,22;29,35,22;484,35,16;487,37,18;3912,35,16;124,35,16;481,35,16;482,36,19;485,36,19;",2015-03-04T10:42:13.236Z
"483,35,17;230,35,22;29,35,22;3912,35,16;487,37,18;124,35,16;484,35,16;481,35,16;485,36,19;",2015-03-04T10:41:53.436Z
"481,34,17;482,36,20;485,36,20;486,35,15;230,35,22;29,35,22;",2015-03-04T10:21:03.225Z
"481,36,18;482,36,20;485,36,20;483,35,18;29,34,20;",2015-03-04T10:20:43.327Z
"29,35,22;3912,34,17;487,36,19;484,34,17;124,35,17;",2015-03-04T10:20:05.198Z
"486,37,16;485,36,20;483,35,18;29,35,22;3912,34,17;487,36,20;484,34,17;124,34,17;",2015-03-04T10:10:28.500Z
"485,36,20;29,35,22;487,36,20;484,34,17;3912,34,17;124,34,17;",2015-03-04T10:10:08.635Z
"124,34,17;481,36,18;486,35,15;482,36,20;485,36,20;",2015-03-04T10:09:30.473Z
